similarity_rank,similarity_group,period_label,confidence_tier,entry_date,exit_date,pnl_pct,score,ratio,active_combo,core_overlap_count,binary_hamming_8axes,binary_jaccard_8axes,score_gap_live_minus_past,ratio_gap_live_minus_past
61,d_core_overlap_2_of_3,recent_1y,A_period_exact,2025-11-11,2025-11-18,-14.82023647,6.73259669,2.53659503,MACD+RSI+NewsTopics,2,3,0.40000000,1.63064961,0.61436884
62,d_core_overlap_2_of_3,stress_pre_2022h1,B_trade_exact,2021-04-26,2021-05-10,4.84004516,3.88886444,1.46518121,MA+RSI+BB+Volume,2,4,0.33333333,4.47438186,1.68578266
63,d_core_overlap_2_of_3,train_2,A_period_exact,2024-02-13,2024-02-21,-6.79946147,4.13155734,1.55661898,MA+RSI+BB+NewsTopics,2,4,0.33333333,4.23168896,1.59434489
64,d_core_overlap_2_of_3,recent_1y,A_period_exact,2025-07-18,2025-08-01,-13.88625090,4.44938834,1.67636602,MA+RSI+BB+NewsTopics,2,4,0.33333333,3.91385796,1.47459785
65,e_core_overlap_1_of_3,recent_1y,A_period_exact,2025-12-15,2025-12-30,-4.13576965,2.92681703,1.10271710,RSI+NewsTopics,1,4,0.20000000,5.43642927,2.04824677
66,e_core_overlap_1_of_3,train_1,B_trade_exact,2022-11-25,2022-12-09,-1.56961308,2.95231885,1.11232525,MA+RSI,1,4,0.20000000,5.41092745,2.03863862
67,e_core_overlap_1_of_3,train_1,D_low_partial_or_rerun_only,2023-01-25,2023-02-08,2.02502127,2.95231885,1.11232525,MA+RSI,1,4,0.20000000,5.41092745,2.03863862
68,d_core_overlap_2_of_3,train_2,A_period_exact,2024-01-05,2024-01-22,-1.73393250,5.08091970,1.91430383,MA+RSI+BB+NewsTopics,2,4,0.33333333,3.28232660,1.23666004
69,e_core_overlap_1_of_3,recent_1y,A_period_exact,2026-03-30,2026-04-08,-5.32431460,4.29354953,1.61765168,MA+RSI,1,4,0.20000000,4.06969677,1.53331219
70,e_core_overlap_1_of_3,stress_pre_2022h1,B_trade_exact,2022-02-24,2022-03-10,3.27976171,4.18291189,1.57596749,BB+NewsTopics,1,4,0.20000000,4.18033441,1.57499638
71,d_core_overlap_2_of_3,recent_1y,A_period_exact,2026-01-05,2026-01-20,4.03896082,7.97158449,3.00340010,MA+RSI+BB+NewsTopics,2,4,0.33333333,0.39166181,0.14756377
72,e_core_overlap_1_of_3,train_2,A_period_exact,2023-11-28,2023-12-12,5.30963280,3.04108809,1.14577024,MA+RSI+Volume,1,5,0.16666667,5.32215821,2.00519363
73,e_core_overlap_1_of_3,recent_1y,A_period_exact,2026-02-11,2026-02-25,-13.17701602,6.13614467,2.31187382,MA+RSI+NewsTopics,1,5,0.16666667,2.22710163,0.83909005
74,e_core_overlap_1_of_3,recent_1y,A_period_exact,2026-01-23,2026-02-06,13.66052070,7.12380815,2.68398913,MA+RSI+NewsTopics,1,5,0.16666667,1.23943815,0.46697474
75,f_core_overlap_0_of_3,train_2,A_period_exact,2023-12-15,2024-01-02,0.46149424,3.82727211,1.44197549,MA+NewsTopics,0,6,0.00000000,4.53597419,1.70898838
