generation,best_fitness,avg_top10_fitness,cache_size,best_hash,best_avg_exp,best_min_exp,best_worst_dd_abs,best_total_trades
29,18.079982976736122,18.079982976736122,2419,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
30,18.079982976736122,18.079982976736122,2499,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
31,18.079982976736122,18.079982976736122,2579,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
32,18.079982976736122,18.079982976736122,2659,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
33,18.079982976736122,18.079982976736122,2739,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
34,18.079982976736122,18.079982976736122,2819,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
35,18.079982976736122,18.079982976736122,2899,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
36,18.079982976736122,18.079982976736122,2979,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
37,18.079982976736122,18.079982976736122,3059,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
38,18.079982976736122,18.079982976736122,3139,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
39,18.079982976736122,18.079982976736122,3219,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
40,18.079982976736122,18.079982976736122,3299,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
