best_active_feature_count,best_fitness,best_passed_count,best_precision,best_recall,candidate_id,early_stop,generation,population_avg_fitness,stage,ticker
1,84.04006085192698,8,0.75,0.17647058823529413,stage3:ADPT:78c31f1ca209,False,1,-752.7486381956435,stage3,ADPT
1,84.04006085192698,8,0.75,0.17647058823529413,stage3:ADPT:78c31f1ca209,False,2,-742.449029291261,stage3,ADPT
3,100.51800202839756,8,0.875,0.20588235294117646,stage3:ADPT:78c31f1ca209,False,3,-713.9562939731298,stage3,ADPT
3,100.51800202839756,8,0.875,0.20588235294117646,stage3:ADPT:78c31f1ca209,False,4,-706.1143963377897,stage3,ADPT
3,100.51800202839756,8,0.875,0.20588235294117646,stage3:ADPT:78c31f1ca209,False,5,-740.0794473855606,stage3,ADPT
2,105.9868154158215,10,0.9,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,6,-753.206554663801,stage3,ADPT
2,105.9868154158215,10,0.9,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,7,-704.5381195526996,stage3,ADPT
2,105.9868154158215,10,0.9,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,8,-686.9835722216084,stage3,ADPT
2,105.9868154158215,10,0.9,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,9,-672.0449810001271,stage3,ADPT
2,105.9868154158215,10,0.9,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,10,-670.6992488766392,stage3,ADPT
2,105.9868154158215,10,0.9,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,11,-643.2043965077014,stage3,ADPT
2,105.9868154158215,10,0.9,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,12,-735.1619711141105,stage3,ADPT
2,105.9868154158215,10,0.9,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,13,-675.4798964165569,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,14,-643.3750440312167,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,15,-676.1226061882734,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,16,-732.0618312648762,stage3,ADPT
