base_rate,candidate_id,coverage,lift_pp,mode,passed_count,passed_positive_count,positive_count,precision,recall,regime,signal_count,stage,ticker
0.4375,stage3:AEIS:6e26f08a7c6d,0.0625,56.25,filtered,1,1,7,1.0,0.14285714285714285,oos,16,stage3,AEIS
0.4666666666666667,stage3:AES:2bd518bc9a7e,1.0,0.0,baseline,15,7,7,0.4666666666666667,1.0,stress,15,stage3,AES
0.4666666666666667,stage3:AES:2bd518bc9a7e,0.8,-13.333333333333336,filtered,12,4,7,0.3333333333333333,0.5714285714285714,stress,15,stage3,AES
0.2857142857142857,stage3:AES:2bd518bc9a7e,1.0,0.0,baseline,14,4,4,0.2857142857142857,1.0,train,14,stage3,AES
0.2857142857142857,stage3:AES:2bd518bc9a7e,0.6428571428571429,15.873015873015872,filtered,9,4,4,0.4444444444444444,1.0,train,14,stage3,AES
0.3333333333333333,stage3:AES:2bd518bc9a7e,1.0,0.0,baseline,3,1,1,0.3333333333333333,1.0,oos,3,stage3,AES
0.3333333333333333,stage3:AES:2bd518bc9a7e,0.6666666666666666,16.666666666666668,filtered,2,1,1,0.5,1.0,oos,3,stage3,AES
0.7058823529411765,stage3:AEVA:3c4e598fa5c7,1.0,0.0,baseline,17,12,12,0.7058823529411765,1.0,stress,17,stage3,AEVA
0.7058823529411765,stage3:AEVA:3c4e598fa5c7,0.35294117647058826,-3.9215686274509887,filtered,6,4,12,0.6666666666666666,0.3333333333333333,stress,17,stage3,AEVA
0.782608695652174,stage3:AEVA:3c4e598fa5c7,1.0,0.0,baseline,23,18,18,0.782608695652174,1.0,train,23,stage3,AEVA
0.782608695652174,stage3:AEVA:3c4e598fa5c7,0.5652173913043478,21.739130434782606,filtered,13,13,18,1.0,0.7222222222222222,train,23,stage3,AEVA
0.8461538461538461,stage3:AEVA:3c4e598fa5c7,1.0,0.0,baseline,13,11,11,0.8461538461538461,1.0,oos,13,stage3,AEVA
0.8461538461538461,stage3:AEVA:3c4e598fa5c7,0.3076923076923077,-9.615384615384615,filtered,4,3,11,0.75,0.2727272727272727,oos,13,stage3,AEVA
0.5,stage3:ALGT:aec5dd5b1dc1,1.0,0.0,baseline,20,10,10,0.5,1.0,stress,20,stage3,ALGT
0.5,stage3:ALGT:aec5dd5b1dc1,0.4,25.0,filtered,8,6,10,0.75,0.6,stress,20,stage3,ALGT
0.3333333333333333,stage3:ALGT:aec5dd5b1dc1,1.0,0.0,baseline,33,11,11,0.3333333333333333,1.0,train,33,stage3,ALGT
0.3333333333333333,stage3:ALGT:aec5dd5b1dc1,0.24242424242424243,41.66666666666667,filtered,8,6,11,0.75,0.5454545454545454,train,33,stage3,ALGT
0.7272727272727273,stage3:ALGT:aec5dd5b1dc1,1.0,0.0,baseline,22,16,16,0.7272727272727273,1.0,oos,22,stage3,ALGT
0.7272727272727273,stage3:ALGT:aec5dd5b1dc1,0.18181818181818182,-22.72727272727273,filtered,4,2,16,0.5,0.125,oos,22,stage3,ALGT
0.47619047619047616,stage3:AMD:a01b055a1d13,1.0,0.0,baseline,21,10,10,0.47619047619047616,1.0,stress,21,stage3,AMD
0.47619047619047616,stage3:AMD:a01b055a1d13,0.38095238095238093,2.3809523809523836,filtered,8,4,10,0.5,0.4,stress,21,stage3,AMD
0.4230769230769231,stage3:AMD:a01b055a1d13,1.0,0.0,baseline,26,11,11,0.4230769230769231,1.0,train,26,stage3,AMD
0.4230769230769231,stage3:AMD:a01b055a1d13,0.34615384615384615,35.47008547008547,filtered,9,7,11,0.7777777777777778,0.6363636363636364,train,26,stage3,AMD
0.6153846153846154,stage3:AMD:a01b055a1d13,1.0,0.0,baseline,13,8,8,0.6153846153846154,1.0,oos,13,stage3,AMD
0.6153846153846154,stage3:AMD:a01b055a1d13,0.3076923076923077,-11.538461538461542,filtered,4,2,8,0.5,0.25,oos,13,stage3,AMD
0.6842105263157895,stage3:AMSC:57bf3f342f43,1.0,0.0,baseline,19,13,13,0.6842105263157895,1.0,stress,19,stage3,AMSC
0.6842105263157895,stage3:AMSC:57bf3f342f43,0.2631578947368421,11.578947368421055,filtered,5,4,13,0.8,0.3076923076923077,stress,19,stage3,AMSC
0.6857142857142857,stage3:AMSC:57bf3f342f43,1.0,0.0,baseline,35,24,24,0.6857142857142857,1.0,train,35,stage3,AMSC
0.6857142857142857,stage3:AMSC:57bf3f342f43,0.2857142857142857,31.428571428571427,filtered,10,10,24,1.0,0.4166666666666667,train,35,stage3,AMSC
0.7222222222222222,stage3:AMSC:57bf3f342f43,1.0,0.0,baseline,18,13,13,0.7222222222222222,1.0,oos,18,stage3,AMSC
0.7222222222222222,stage3:AMSC:57bf3f342f43,0.2777777777777778,7.777777777777784,filtered,5,4,13,0.8,0.3076923076923077,oos,18,stage3,AMSC
0.1111111111111111,stage3:AMZN:bdc7a3a74814,1.0,0.0,baseline,18,2,2,0.1111111111111111,1.0,stress,18,stage3,AMZN
0.1111111111111111,stage3:AMZN:bdc7a3a74814,0.16666666666666666,-11.11111111111111,filtered,3,0,2,0.0,0.0,stress,18,stage3,AMZN
0.23809523809523808,stage3:AMZN:bdc7a3a74814,1.0,0.0,baseline,21,5,5,0.23809523809523808,1.0,train,21,stage3,AMZN
0.23809523809523808,stage3:AMZN:bdc7a3a74814,0.38095238095238093,13.690476190476192,filtered,8,3,5,0.375,0.6,train,21,stage3,AMZN
0.4,stage3:AMZN:bdc7a3a74814,1.0,0.0,baseline,10,4,4,0.4,1.0,oos,10,stage3,AMZN
0.4,stage3:AMZN:bdc7a3a74814,0.3,-6.6666666666666705,filtered,3,1,4,0.3333333333333333,0.25,oos,10,stage3,AMZN
0.21739130434782608,stage3:ANET:fe220620802b,1.0,0.0,baseline,23,5,5,0.21739130434782608,1.0,stress,23,stage3,ANET
0.21739130434782608,stage3:ANET:fe220620802b,0.13043478260869565,-21.73913043478261,filtered,3,0,5,0.0,0.0,stress,23,stage3,ANET
0.4166666666666667,stage3:ANET:fe220620802b,1.0,0.0,baseline,36,15,15,0.4166666666666667,1.0,train,36,stage3,ANET
0.4166666666666667,stage3:ANET:fe220620802b,0.2222222222222222,45.83333333333333,filtered,8,7,15,0.875,0.4666666666666667,train,36,stage3,ANET
0.5909090909090909,stage3:ANET:fe220620802b,1.0,0.0,baseline,22,13,13,0.5909090909090909,1.0,oos,22,stage3,ANET
0.5909090909090909,stage3:ANET:fe220620802b,0.09090909090909091,-9.090909090909093,filtered,2,1,13,0.5,0.07692307692307693,oos,22,stage3,ANET
0.5714285714285714,stage3:APA:692dd6626ba8,1.0,0.0,baseline,14,8,8,0.5714285714285714,1.0,stress,14,stage3,APA
