all_feature_and,bilateral,domain_max_train,domain_min_train,fallback_applied_any_generation,fallback_event_count,feature,feature_definition,finite_high,finite_low,high_norm,high_value,low_norm,low_value,min_width_pass,model_hash,near_full_noise_gene,ticker,width_norm
True,True,19.259077952043132,-13.106086133918582,True,3,ret_d4_pct,D-5 close 대비 D-4 close 수익률(%),True,True,0.7914903309645339,12.510628300200702,0.26068507990974166,-4.6689707478777525,True,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,False,AEIS,0.5308052510547923
True,True,19.259077952043132,-13.106086133918582,True,1,ret_d3_pct,D-4 close 대비 D-3 close 수익률(%),True,True,0.8827315195811255,15.463664341174871,0.043726714297030095,-11.690863850755235,True,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,False,AEIS,0.8390048052840954
True,True,19.259077952043132,-13.106086133918582,True,1,ret_d2_pct,D-3 close 대비 D-2 close 수익률(%),True,True,0.7413686594048549,10.888432175909008,0.05710099676197872,-11.258003004245172,True,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,False,AEIS,0.6842676626428761
True,True,19.259077952043132,-13.106086133918582,True,1,ret_d1_pct,D-2 close 대비 D-1 close 수익률(%),True,True,0.6750077115945454,8.740649211128401,0.2570122946639968,-4.7878410450087845,True,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,False,AEIS,0.41799541693054865
True,True,18.12140136984506,-17.779498112397686,True,7,cumulative_ret5_pct,D-6 close 대비 D-1 close 누적수익률(%),True,True,0.8096551797556382,11.287851111286663,0.04202278215489755,-16.270842434290525,True,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,False,AEIS,0.7676323976007406
True,True,5.0,0.0,True,6,up_days5,D-5~D-1 양의 일수익률 일수,True,True,0.6429793717996284,3.214896858998142,0.0909826381612652,0.454913190806326,True,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,False,AEIS,0.5519967336383632
True,True,4.0,0.0,True,3,days_since_high5,D-5~D-1 고가 최고점 이후 거래일 수(0=D-1),True,True,0.8302267532064258,3.320907012825703,0.3093922633462392,1.2375690533849568,True,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,False,AEIS,0.5208344898601867
True,True,1.0,0.0,True,3,close_pos5,D-1 close의 D-5~D-1 high/low 범위 내 위치(0~1),True,True,0.88647432482531,0.88647432482531,0.40451866039837886,0.40451866039837886,True,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,False,AEIS,0.4819556644269311
True,True,23.8770125750559,0.0,True,3,pullback_from_high5_pct,D-5~D-1 최고가 대비 D-1 close 하락률(%),True,True,0.5886022063013581,14.054062281563175,0.14345586533924326,3.425297500670637,True,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,False,AEIS,0.4451463409621148
True,True,19.259077952043132,-0.9916829998992016,True,3,single_up_day5_pct,D-5~D-1 최대 단일 일수익률(%),True,True,0.8094416497659194,15.400126354056262,0.1137896010132925,1.3126430090378798,True,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,False,AEIS,0.6956520487526269
True,True,28.50497682335683,0.0,True,6,fade_after_surge_score,초반 최대상승률 + 최근 2일 음의 누적수익률 절대값,True,True,0.7026884596955735,20.030118257662632,0.01419740504180348,0.40469670166841765,True,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,False,AEIS,0.68849105465377
True,True,13.676453007013231,-9.154932934955903,True,4,ret_d5_pct,D-6 close 대비 D-5 close 수익률(%),True,True,0.8844353606116057,11.037952123892312,0.31971797280317577,-1.855328505302606,True,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,False,ARKW,0.56471738780843
True,True,13.676453007013231,-9.154932934955903,True,3,ret_d4_pct,D-5 close 대비 D-4 close 수익률(%),True,True,0.5450545305855883,3.289417412262482,0.1721309036241299,-5.224945841773501,True,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,False,ARKW,0.3729236269614584
True,True,13.676453007013231,-9.154932934955903,True,4,ret_d3_pct,D-4 close 대비 D-3 close 수익률(%),True,True,0.642551651645563,5.515411811413653,0.07103937086381384,-7.533005641689492,True,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,False,ARKW,0.5715122807817492
True,True,13.676453007013231,-9.154932934955903,True,1,ret_d2_pct,D-3 close 대비 D-2 close 수익률(%),True,True,0.9189343860758161,11.825612688887523,0.12118113418853863,-6.3881996914118275,True,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,False,ARKW,0.7977532518872775
True,True,13.676453007013231,-9.154932934955903,True,2,ret_d1_pct,D-2 close 대비 D-1 close 수익률(%),True,True,0.6074056087716033,4.712978942225284,0.01179920852789857,-8.885540651245678,True,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,False,ARKW,0.5956064002437047
True,True,20.93049720448277,-15.203933139974634,True,2,cumulative_ret5_pct,D-6 close 대비 D-1 close 누적수익률(%),True,True,0.7782408701356912,12.917357373153418,0.20529578962705644,-7.785686729685383,True,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,False,ARKW,0.5729450805086348
True,True,5.0,0.0,True,6,up_days5,D-5~D-1 양의 일수익률 일수,True,True,0.9648706072068536,4.8243530360342675,0.4012067692859817,2.0060338464299083,True,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,False,ARKW,0.5636638379208718
True,True,4.0,0.0,True,5,days_since_high5,D-5~D-1 고가 최고점 이후 거래일 수(0=D-1),True,True,1.0,4.0,0.05915980726610997,0.23663922906443988,True,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,False,ARKW,0.9408401927338901
True,True,1.0,0.0,True,2,close_pos5,D-1 close의 D-5~D-1 high/low 범위 내 위치(0~1),True,True,0.46900966093867485,0.46900966093867485,0.05335782820607904,0.05335782820607904,True,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,False,ARKW,0.4156518327325958
True,True,20.94962506966047,0.0,True,5,pullback_from_high5_pct,D-5~D-1 최고가 대비 D-1 close 하락률(%),True,True,0.779231250067656,16.324602531480235,0.13252562581417712,2.7763621729291277,True,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,False,ARKW,0.6467056242534789
True,True,13.676453007013231,-1.2510997083700404,True,3,single_up_day5_pct,D-5~D-1 최대 단일 일수익률(%),True,True,0.4351837335681931,5.245128415346471,0.030584039227680226,-0.7945548505494939,True,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,False,ARKW,0.4045996943405129
True,True,16.655512298355912,0.0,True,4,fade_after_surge_score,초반 최대상승률 + 최근 2일 음의 누적수익률 절대값,True,True,0.33108896192187853,5.5144562771397405,0.07848555373836827,1.3072171055326665,True,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,False,ARKW,0.25260340818351024
True,True,13.374748321084606,-14.475293957276246,True,4,ret_d5_pct,D-6 close 대비 D-5 close 수익률(%),True,True,0.9208966138476075,11.17171567237897,0.36378230958843916,-4.343941255118459,True,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,False,CBRL,0.5571143042591683
True,True,13.374748321084606,-14.475293957276246,True,4,ret_d4_pct,D-5 close 대비 D-4 close 수익률(%),True,True,0.7575127696547523,6.621468704006833,0.19415423394762663,-9.068090333312082,True,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,False,CBRL,0.5633585357071257
True,True,13.374748321084606,-14.475293957276246,True,7,ret_d3_pct,D-4 close 대비 D-3 close 수익률(%),True,True,0.8126061334769159,8.155821215711203,0.31671276283404604,-5.654830122251591,True,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,False,CBRL,0.49589337064286987
True,True,13.374748321084606,-14.475293957276246,True,3,ret_d2_pct,D-3 close 대비 D-2 close 수익률(%),True,True,0.7402397929351602,6.140415572093048,0.30147286425652137,-6.079261941953584,True,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,False,CBRL,0.4387669286786388
True,True,13.374748321084606,-14.475293957276246,True,1,ret_d1_pct,D-2 close 대비 D-1 close 수익률(%),True,True,0.7093315455278861,5.279619575050429,0.2566944261411215,-7.326343336626436,True,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,False,CBRL,0.45263711938676465
True,True,27.02765780718286,-20.25493660934677,True,7,cumulative_ret5_pct,D-6 close 대비 D-1 close 누적수익률(%),True,True,0.9187024476834313,23.18369861394195,0.059699578096700415,-17.43218567136255,True,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,False,CBRL,0.8590028695867309
True,True,5.0,0.0,True,2,up_days5,D-5~D-1 양의 일수익률 일수,True,True,0.5239065954710491,2.6195329773552456,0.012072981299938711,0.06036490649969355,True,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,False,CBRL,0.5118336141711104
True,True,4.0,0.0,True,3,days_since_high5,D-5~D-1 고가 최고점 이후 거래일 수(0=D-1),True,True,0.7816909121471562,3.126763648588625,0.22926162968069347,0.9170465187227739,True,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,False,CBRL,0.5524292824664627
True,True,0.9988668359018577,0.0,True,2,close_pos5,D-1 close의 D-5~D-1 high/low 범위 내 위치(0~1),True,True,0.8758253304509117,0.874832876630201,0.12575230524851416,0.12560980725094792,True,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,False,CBRL,0.7500730252023975
True,True,25.11258592380972,0.008957256529829,True,3,pullback_from_high5_pct,D-5~D-1 최고가 대비 D-1 close 하락률(%),True,True,0.793169709102551,19.92039510397468,0.19985089329811723,5.02593987070994,True,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,False,CBRL,0.5933188158044338
True,True,13.374748321084606,-1.641949708902657,True,6,single_up_day5_pct,D-5~D-1 최대 단일 일수익률(%),True,True,0.875177860083446,11.500331938500896,0.04814092750934035,-0.919031937611386,True,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,False,CBRL,0.8270369325741056
True,True,18.075032637405656,0.0,True,4,fade_after_surge_score,초반 최대상승률 + 최근 2일 음의 누적수익률 절대값,True,True,0.7023125886868715,12.694322962176056,0.1833704048936843,3.3144260531876335,True,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,False,CBRL,0.5189421837931872
True,True,13.35707979651568,-12.38493360600894,True,1,ret_d5_pct,D-6 close 대비 D-5 close 수익률(%),True,True,0.8537696446364266,9.592816028890635,0.4406212263538136,-1.0424560917722339,True,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,False,BTU,0.41314841828261295
True,True,13.35707979651568,-12.38493360600894,True,4,ret_d4_pct,D-5 close 대비 D-4 close 수익률(%),True,True,0.8439509769621012,9.340063754023216,0.1654499456025296,-8.125918888861653,True,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,False,BTU,0.6785010313595716
True,True,13.35707979651568,-12.38493360600894,True,4,ret_d3_pct,D-4 close 대비 D-3 close 수익률(%),True,True,0.9057270627444883,10.930304582188938,0.10088607631566995,-9.787922877362842,True,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,False,BTU,0.8048409864288184
