base_rate,coverage,decision_threshold,gate_fail_reasons,lift_pp,model_hash,pass_probability,passed_count,passed_gate,passed_positive_count,positive_count,precision,precision_floor,recall,regime,sample_floor,signal_count,survivor,ticker
0.6085219707057257,0.03195739014647137,0.6885219707057256,[],26.647802929427435,dc7941ba24d7920388389f92575ff6347d49ab1bf007a795eeb7cb795748bcdd,0.875,24,True,21,457,0.875,0.6885219707057256,0.045951859956236324,train,20,751,False,ADPT
0.537864077669903,0.04466019417475728,0.6885219707057256,"[""precision<0.7250""]",-10.30814689742508,dc7941ba24d7920388389f92575ff6347d49ab1bf007a795eeb7cb795748bcdd,0.875,23,False,10,277,0.43478260869565216,0.725,0.036101083032490974,stress,8,515,False,ADPT
0.5555555555555556,0.047619047619047616,0.6885219707057256,"[""precision<0.7250""]",-5.555555555555558,dc7941ba24d7920388389f92575ff6347d49ab1bf007a795eeb7cb795748bcdd,0.875,12,False,6,140,0.5,0.725,0.04285714285714286,oos,8,252,False,ADPT
0.39280958721704395,0.02663115845539281,0.47280958721704397,[],30.7190412782956,69069e6c5d7f3b8c18e21802d711ba1d734a18afd78ff91337b26492e833c72e,0.7,20,True,14,295,0.7,0.47280958721704397,0.04745762711864407,train,20,751,False,BIDU
0.43106796116504853,0.02330097087378641,0.47280958721704397,"[""precision<0.5500""]",6.893203883495147,69069e6c5d7f3b8c18e21802d711ba1d734a18afd78ff91337b26492e833c72e,0.7,12,False,6,222,0.5,0.5499999999999999,0.02702702702702703,stress,8,515,False,BIDU
0.4444444444444444,0.03968253968253968,0.47280958721704397,"[""precision<0.5500""]",-4.444444444444439,69069e6c5d7f3b8c18e21802d711ba1d734a18afd78ff91337b26492e833c72e,0.7,10,False,4,112,0.4,0.5499999999999999,0.03571428571428571,oos,8,252,False,BIDU
0.11051930758988016,0.0,0.45,"[""train_precision_or_sample_or_gene_gate""]",-11.051930758988016,27dd92b1e3bca39fceabf378663718b635b983dc9e941f6d305cfb989111324d,0.42857142857142855,0,False,0,83,0.0,0.45,0.0,train,20,751,False,CEF
0.1145631067961165,0.0,0.45,"[""passed_count<8"", ""precision<0.3000""]",-11.45631067961165,27dd92b1e3bca39fceabf378663718b635b983dc9e941f6d305cfb989111324d,0.42857142857142855,0,False,0,59,0.0,0.3,0.0,stress,8,515,False,CEF
0.3134920634920635,0.0,0.45,"[""passed_count<8"", ""precision<0.3435""]",-31.349206349206348,27dd92b1e3bca39fceabf378663718b635b983dc9e941f6d305cfb989111324d,0.42857142857142855,0,False,0,79,0.0,0.3434920634920635,0.0,oos,8,252,False,CEF
0.4980026631158455,0.03595206391478029,0.5780026631158455,[],35.38491887360063,af07349ef39efa21e0bc674cd521e42b1877851aad554f4cce56c809d5e2578d,0.8518518518518519,27,True,23,374,0.8518518518518519,0.5780026631158455,0.06149732620320856,train,20,751,False,AMD
0.4601941747572815,0.04660194174757282,0.5780026631158455,"[""precision<0.7019""]",8.14724919093851,af07349ef39efa21e0bc674cd521e42b1877851aad554f4cce56c809d5e2578d,0.8518518518518519,24,False,13,237,0.5416666666666666,0.7018518518518518,0.05485232067510549,stress,8,515,False,AMD
0.5714285714285714,0.05555555555555555,0.5780026631158455,"[""precision<0.7019""]",-21.428571428571423,af07349ef39efa21e0bc674cd521e42b1877851aad554f4cce56c809d5e2578d,0.8518518518518519,14,False,5,144,0.35714285714285715,0.7018518518518518,0.034722222222222224,oos,8,252,False,AMD
0.3821571238348868,0.02929427430093209,0.46215712383488683,[],34.51156034378405,533f088311cabb22a012f2c505b1756690d3cd9a7d4e6aceac3c8c22a3b4034a,0.7272727272727273,22,True,16,287,0.7272727272727273,0.46215712383488683,0.05574912891986063,train,20,751,False,AAP
0.29514563106796116,0.005825242718446602,0.46215712383488683,"[""passed_count<8"", ""precision<0.5773""]",-29.514563106796114,533f088311cabb22a012f2c505b1756690d3cd9a7d4e6aceac3c8c22a3b4034a,0.7272727272727273,3,False,0,152,0.0,0.5772727272727273,0.0,stress,8,515,False,AAP
0.5158730158730159,0.07539682539682539,0.46215712383488683,"[""precision<0.5773""]",-4.218880534670016,533f088311cabb22a012f2c505b1756690d3cd9a7d4e6aceac3c8c22a3b4034a,0.7272727272727273,19,False,9,130,0.47368421052631576,0.5772727272727273,0.06923076923076923,oos,8,252,False,AAP
0.5778961384820239,0.02929427430093209,0.6578961384820239,[],24.02856796997943,0a67c818c4c43b60cec221789416d434592bc49a29401db29faf54554b6b7309,0.8181818181818182,22,True,18,434,0.8181818181818182,0.6578961384820239,0.041474654377880185,train,20,751,False,CAPR
0.5786407766990291,0.04854368932038835,0.6578961384820239,"[""precision<0.6682""]",-9.864077669902915,0a67c818c4c43b60cec221789416d434592bc49a29401db29faf54554b6b7309,0.8181818181818182,25,False,12,298,0.48,0.6681818181818182,0.040268456375838924,stress,8,515,False,CAPR
0.5357142857142857,0.05952380952380952,0.6578961384820239,"[""precision<0.6682""]",13.095238095238093,0a67c818c4c43b60cec221789416d434592bc49a29401db29faf54554b6b7309,0.8181818181818182,15,False,10,135,0.6666666666666666,0.6681818181818182,0.07407407407407407,oos,8,252,False,CAPR
