ticker,date,regime,position_independent_daily_evaluation,holding_state_ignored_for_candidate_generation,feature_cutoff,label_2d3pct,status
AEVA,2023-11-14,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-11-15,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-11-16,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-11-17,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-11-20,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-11-21,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-11-22,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-11-24,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-11-27,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-11-28,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-11-29,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-11-30,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-01,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-04,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-05,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-06,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-07,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-08,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-11,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-12,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-13,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-14,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-15,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-12-18,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-12-19,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-20,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-21,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-22,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-26,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-12-27,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-12-28,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-12-29,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-01-02,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-01-03,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-01-04,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-01-05,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-01-08,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-01-09,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-01-10,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-01-11,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-01-12,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-01-16,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-01-17,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-01-18,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-01-19,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-01-22,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-01-23,train,True,True,D-1,0,ELIGIBLE
