rank93,ticker,candidate_id,stage,bucket,rule_hash_short,live26,eval_ok,eval_reason,should_buy,final_score,threshold,ratio,ratio_lt_1_05,ratio_lt_1_10,ratio_lt_1_15,ratio_lt_1_25,core_positive_count,core_ma,core_macd,core_rsi,core_bb,core_volume,top1_component,top1_share_pct,top2_components,top2_share_pct,top2_ge_80,top2_ge_90,top2_ge_95,bb_rsi_only_pass,history_status,exit_n,exit_avg_pnl_pct,exit_win_rate_pct,exit_avg_mae_pct,exit_avg_mfe_pct,exit_min_pnl_pct,stop_loss_n,time_out_n,take_profit_n,trailing_n,breakeven_stop_n,stop_timeout_pct,exit_avg_pnl_lt_0,exit_win_rate_lt_45,exit_stop_timeout_gt_80,symptom1_low_ratio,symptom2_concentrated,symptom3_weak_exit,symptom_count,symptom_labels
60,BGC,stage3:BGC:d8c39420992c,stage3,C_momentum,d8c39420992c,False,True,,False,-1.907077,3.238709,-0.588839,True,True,True,True,1,0.000000,0.000000,1.533459,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,56,2.448943,57.142857,-4.893229,8.262280,-10.632172,10,34,0,12,0,78.571429,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
61,CE,stage3:CE:998b0b638c66,stage3,B_stable,998b0b638c66,True,True,,True,2.678767,2.654187,1.009261,True,True,True,True,2,0.000000,0.000000,1.725078,0.847776,0.000000,rsi,67.049184,rsi+bb,100.000000,True,True,True,True,OK,79,-1.019775,41.772152,-5.567387,4.671828,-14.896082,28,42,5,2,0,88.607595,True,True,True,True,True,True,3,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
62,CRNX,stage3:CRNX:6710d2e7617c,stage3,C_momentum,6710d2e7617c,False,True,,True,8.011841,3.148519,2.544638,False,False,False,False,1,0.962914,0.000000,0.000000,0.000000,0.000000,ma_align,100.000000,ma_align,100.000000,True,True,True,False,OK,24,1.892860,54.166667,-7.175575,10.264269,-9.075031,7,7,0,9,0,58.333333,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
63,ADMA,stage3:ADMA:42437a3ee595,stage3,watch,42437a3ee595,True,True,,True,3.333102,2.179291,1.529443,False,False,False,False,1,0.000000,0.000000,2.000000,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,92,1.675619,57.608696,-6.273500,8.997089,-29.385384,3,68,0,2,18,77.173913,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
64,CACI,stage3:CACI:067d6d4fc9fe,stage3,B_stable,067d6d4fc9fe,False,True,,False,-0.036317,2.410490,-0.015066,True,True,True,True,2,0.000000,0.000000,0.478297,0.392220,0.000000,rsi,54.944009,rsi+bb,100.000000,True,True,True,False,OK,42,1.438235,66.666667,-4.455766,6.326306,-13.501197,10,23,0,7,0,78.571429,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
65,AES,stage3:AES:2bd518bc9a7e,stage3,C_momentum,2bd518bc9a7e,False,True,,False,0.000000,3.609506,0.000000,True,True,True,True,3,0.000000,0.000000,1.389131,0.215782,1.960112,volume,54.981707,volume+rsi,93.947244,True,True,False,False,OK,32,2.996642,56.250000,-3.067705,6.752998,-4.428504,6,8,0,18,0,43.750000,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
66,AX,stage3:AX:6ec8dba59cc1,stage3,B_stable,6ec8dba59cc1,False,True,,False,-10.432403,2.858966,-3.649013,True,True,True,True,2,1.424472,0.000000,1.099464,0.000000,0.000000,ma_align,56.438525,ma_align+rsi,100.000000,True,True,True,False,OK,47,1.113523,55.319149,-3.796406,5.991249,-10.157560,8,21,0,18,0,61.702128,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
67,BTBT,stage3:BTBT:363898884d44,stage3,watch,363898884d44,True,True,,True,11.329717,1.911258,5.927885,False,False,False,False,1,0.000000,0.000000,1.645815,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,88,1.186887,57.954545,-8.845665,12.626967,-28.546549,26,0,14,0,48,29.545455,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
68,ABEV,stage3:ABEV:9121d29b2b80,stage3,watch,9121d29b2b80,False,True,,False,1.740532,3.919843,0.444031,True,True,True,True,1,0.000000,0.000000,1.740532,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,34,2.370971,52.941176,-5.080421,8.621382,-9.656792,7,17,0,8,0,70.588235,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
69,CBRL,stage3:CBRL:677767a0b6a9,stage3,watch,677767a0b6a9,True,True,,True,2.840062,1.904704,1.491078,False,False,False,False,2,1.123403,0.000000,1.789787,0.000000,0.000000,rsi,61.437346,rsi+ma_align,100.000000,True,True,True,False,OK,68,-0.548038,36.764706,-5.594552,6.647604,-11.119148,36,20,8,0,0,82.352941,True,True,True,False,True,True,2,TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
70,ARKK,stage3:ARKK:94bceb67f6a4,stage3,C_momentum,94bceb67f6a4,False,True,,True,3.660773,2.750567,1.330916,False,False,False,False,2,2.000000,0.000000,1.660773,0.000000,0.000000,ma_align,54.633272,ma_align+rsi,100.000000,True,True,True,False,OK,94,0.540493,54.255319,-4.172458,6.255586,-8.126067,40,11,0,6,36,54.255319,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
71,BILL,stage3:BILL:eb2fe6599396,stage3,watch,eb2fe6599396,False,True,,False,0.000000,2.057219,0.000000,True,True,True,True,0,0.000000,0.000000,0.000000,0.000000,0.000000,,UNKNOWN,,UNKNOWN,False,False,False,False,OK,55,-0.964098,49.090909,-11.518614,11.589443,-39.714371,10,36,6,0,0,83.636364,True,False,True,True,False,True,2,LOW_RATIO_LT_1_25|WEAK_EXIT_HISTORY
72,AMZN,stage3:AMZN:bdc7a3a74814,stage3,watch,bdc7a3a74814,False,True,,False,1.523823,4.000000,0.380956,True,True,True,True,1,0.000000,0.000000,0.000000,1.590126,0.000000,bb,100.000000,bb,100.000000,True,True,True,False,OK,49,0.997909,55.102041,-4.757086,6.699463,-16.546684,19,7,7,14,0,53.061224,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
73,CBRE,stage3:CBRE:30fdb7f6db1e,stage3,C_momentum,30fdb7f6db1e,False,True,,False,1.067390,2.379361,0.448604,True,True,True,True,1,0.000000,0.000000,0.823620,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,56,1.132297,60.714286,-3.931723,5.700526,-11.205994,15,24,0,14,0,69.642857,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
74,ARKG,stage3:ARKG:50b05b8de94f,stage3,watch,50b05b8de94f,False,True,,False,-2.331486,3.505971,-0.665005,True,True,True,True,2,0.052091,0.000000,1.213704,0.000000,0.000000,rsi,95.884755,rsi+ma_align,100.000000,True,True,True,False,OK,92,0.475499,41.304348,-4.356861,6.470299,-14.107256,39,18,17,17,0,61.956522,False,True,False,True,True,True,3,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
75,CSW,stage3:CSW:cd3afccd3aea,stage3,watch,cd3afccd3aea,False,True,,False,1.467214,2.736226,0.536218,True,True,True,True,1,0.000000,0.000000,1.467214,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,29,2.841099,68.965517,-3.587197,7.322183,-12.547516,1,20,6,2,0,72.413793,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
76,ACMR,stage3:ACMR:44c1e02681c4,stage3,watch,44c1e02681c4,True,True,,True,4.253827,1.672152,2.543923,False,False,False,False,1,0.000000,0.000000,1.414925,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,74,2.431727,58.108108,-7.343177,9.160457,-33.640170,5,39,25,4,0,59.459459,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
77,DDOG,stage3:DDOG:6c41f43018cf,stage3,C_momentum,6c41f43018cf,False,True,,True,15.382314,1.720585,8.940165,False,False,False,False,3,2.000000,0.000000,0.009011,0.000000,1.737830,ma_align,53.378298,ma_align+volume,99.759509,True,True,True,False,OK,58,3.834126,58.620690,-8.044717,14.078682,-25.657385,15,21,0,19,0,62.068966,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
78,DHI,stage3:DHI:3d6a4f6f0b99,stage3,B_stable,3d6a4f6f0b99,False,True,,False,1.811608,3.764350,0.481254,True,True,True,True,2,0.000000,0.000000,1.767572,0.044036,0.000000,rsi,97.569243,rsi+bb,100.000000,True,True,True,False,OK,56,1.397519,57.142857,-3.317271,6.697901,-7.495181,14,8,0,33,0,39.285714,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
79,BN,stage3:BN:d264957fe5f6,stage3,C_momentum,d264957fe5f6,False,True,,True,3.301141,2.648022,1.246644,False,False,False,True,3,0.000000,1.310885,1.018308,2.000000,0.000000,bb,46.197989,bb+macd,76.478111,False,False,False,False,OK,57,0.513769,45.614035,-4.512237,6.014776,-10.455161,24,18,0,11,0,73.684211,False,False,False,True,False,False,1,LOW_RATIO_LT_1_25
80,DB,stage3:DB:3fddd15661db,stage3,watch,3fddd15661db,False,True,,True,3.429525,2.455582,1.396624,False,False,False,False,2,1.429525,0.000000,2.000000,0.000000,0.000000,rsi,58.317106,rsi+ma_align,100.000000,True,True,True,False,OK,55,2.326148,58.181818,-4.466954,8.927194,-18.635099,14,18,0,20,0,58.181818,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
81,CAT,stage3:CAT:404813e11894,stage3,B_stable,404813e11894,False,True,,False,0.736519,3.272567,0.225058,True,True,True,True,1,0.000000,0.000000,0.639424,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,55,2.217043,80.000000,-2.082716,6.033622,-9.798075,4,1,0,40,9,9.090909,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
82,C,stage3:C:8d6430f3dfbc,stage3,B_stable,8d6430f3dfbc,False,True,,False,0.966804,2.531989,0.381836,True,True,True,True,2,0.000000,0.000000,0.296125,0.670680,0.000000,bb,69.370783,bb+rsi,100.000000,True,True,True,False,OK,65,1.655821,52.307692,-3.541532,6.177004,-9.127743,23,23,0,16,0,70.769231,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
83,CIGI,stage3:CIGI:2067519c6762,stage3,C_momentum,2067519c6762,False,True,,False,0.000000,2.160454,0.000000,True,True,True,True,0,0.000000,0.000000,0.000000,0.000000,0.000000,,UNKNOWN,,UNKNOWN,False,False,False,False,OK,46,0.664039,60.869565,-5.121371,6.600913,-11.772164,15,13,0,13,4,60.869565,False,False,False,True,False,False,1,LOW_RATIO_LT_1_25
84,PLXS,stage2:PLXS:c33a9dcf246c,stage2,watch,c33a9dcf246c,False,True,,False,0.823825,2.179609,0.377969,True,True,True,True,2,0.000000,0.000000,0.603721,0.220104,0.000000,rsi,73.282692,rsi+bb,100.000000,True,True,True,False,OK,61,3.215128,77.049180,-3.164980,5.731629,-11.619692,6,11,39,2,0,27.868852,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
85,STM,stage2:STM:3ec231118ff2,stage2,B_stable,3ec231118ff2,False,True,,False,0.000000,2.566787,0.000000,True,True,True,True,0,0.000000,0.000000,0.000000,0.000000,0.000000,,UNKNOWN,,UNKNOWN,False,False,False,False,OK,74,3.373822,81.081081,-2.832680,6.655177,-17.631080,1,16,30,0,24,22.972973,False,False,False,True,False,False,1,LOW_RATIO_LT_1_25
86,AGI,stage2:AGI:202bb1a936de,stage2,C_momentum,202bb1a936de,False,True,,False,-1.425231,1.500000,-0.950154,True,True,True,True,2,0.000000,1.436231,1.583529,0.000000,0.000000,rsi,52.438915,rsi+macd,100.000000,True,True,True,False,OK,82,2.402752,75.609756,-3.297318,6.748324,-12.988803,1,42,0,8,27,52.439024,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
87,HCC,stage2:HCC:2154d17783f3,stage2,watch,2154d17783f3,False,True,,False,2.061454,3.780276,0.545318,True,True,True,True,1,0.000000,0.000000,1.413913,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,70,3.142660,68.571429,-3.781093,7.290770,-11.098142,0,59,6,3,0,84.285714,False,False,True,True,True,True,3,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
88,CEF,stage2:CEF:fe84c0ad85d8,stage2,watch,fe84c0ad85d8,True,True,,False,1.102650,2.301963,0.479004,True,True,True,True,1,0.000000,0.000000,1.027659,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,71,2.060960,70.422535,-2.193290,5.048888,-6.236764,5,47,0,9,8,73.239437,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
89,IRM,stage2:IRM:82b37d075f9d,stage2,watch,82b37d075f9d,False,True,,False,0.652010,3.014310,0.216305,True,True,True,True,1,0.000000,0.000000,0.610887,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,73,2.076968,71.232877,-2.766866,5.464737,-7.756452,8,5,0,59,0,17.808219,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
90,POWI,stage2:POWI:6c2e3e5c874b,stage2,watch,6c2e3e5c874b,False,True,,False,0.846334,2.909063,0.290930,True,True,True,True,1,0.000000,0.000000,0.846334,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,52,3.143323,63.461538,-3.122749,7.376297,-11.757908,2,23,7,9,10,48.076923,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
91,STLD,stage2:STLD:b51ac2b4451d,stage2,watch,b51ac2b4451d,False,True,,False,1.763764,4.000000,0.440941,True,True,True,True,1,0.000000,0.000000,1.763764,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,69,2.620523,75.362319,-3.900723,5.876466,-14.222655,3,20,46,0,0,33.333333,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
92,MPC,stage2:MPC:8107accddd2c,stage2,watch,8107accddd2c,False,True,,False,1.328181,2.713432,0.489484,True,True,True,True,0,0.000000,0.000000,0.000000,0.000000,0.000000,,UNKNOWN,,UNKNOWN,False,False,False,False,OK,66,2.160750,72.727273,-4.161132,6.693356,-11.612028,11,13,18,0,22,36.363636,False,False,False,True,False,False,1,LOW_RATIO_LT_1_25
93,CAT,stage2:CAT:a752666ee858,stage2,watch,a752666ee858,False,True,,False,0.071762,2.742960,0.026162,True,True,True,True,1,0.000000,0.000000,0.000000,1.202613,0.000000,bb,100.000000,bb,100.000000,True,True,True,False,OK,84,2.399835,70.238095,-2.476139,5.770296,-6.939728,16,37,16,0,14,63.095238,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
