path,path_kind,type,risk,size_bytes,size_human,file_count,recent_modified_utc,days_since_modified,reachable,reachable_from,reference_count,last_reference_trace,git_tracked,git_last_commit_date,git_last_commit,protected_reason,decision_reason
exp_add_buy_disable_baseline_20260615/baseline_cw_add_buy_enabled.json,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,1124,1.10KiB,1,2026-06-14T21:25:22.512467+00:00,25.687,False,,0,none in active import/literal graph,False,,,,outside confirmed current batch; research evidence may matter
exp_add_buy_disable_smoke_20260615/README.md,file,EXACT_DUPLICATE_REVIEW,REVIEW,557,557.00B,1,2026-06-14T21:29:12.344055+00:00,25.684,False,,0,none in active import/literal graph,False,,,,"documentation/history value requires review; exact-content duplicates=['exp_add_buy_disable_smoke_20260615/README.md', 'exp_batch_CE_materials_retrain_20260708/tickers/CE/stage3/README.md', 'exp_batch_CE_multifeature_20260708/tickers/CE/stage3/README.md', 'exp_batch_stage23_smoke_3/tickers/CRWD/stage3/README.md', 'exp_batch_stage23_smoke_3/tickers/CW/stage3/README.md', 'exp_batch_stage23_smoke_3/tickers/WELL/stage3/README.md']"
exp_add_buy_disable_smoke_20260615/entry_rejected_overlap.json,file,EXACT_DUPLICATE_REVIEW,REVIEW,3,3.00B,1,2026-06-14T21:29:18.041045+00:00,25.684,False,,0,none in active import/literal graph,False,,,,"outside confirmed current batch; research evidence may matter; exact-content duplicates=['data/_system/real_dashboard_rulebooks.json', 'exp_add_buy_disable_smoke_20260615/entry_rejected_overlap.json', 'exp_crwd_multiyear_20260612_2005/survivors.json', 'exp_lasr_multiyear_20260612_1845/survivors.json', 'exp_lasr_reverse_20260612_1856/survivors.json']"
exp_add_buy_disable_smoke_20260615/entry_result.json,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,559,559.00B,1,2026-06-14T21:29:18.041045+00:00,25.684,False,,0,none in active import/literal graph,False,,,,outside confirmed current batch; research evidence may matter
exp_add_buy_disable_smoke_20260615/exit_result.json,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,524,524.00B,1,2026-06-14T21:29:23.301036+00:00,25.684,False,,0,none in active import/literal graph,False,,,,outside confirmed current batch; research evidence may matter
exp_add_buy_disable_smoke_20260615/manifest.json,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,2083,2.03KiB,1,2026-06-14T21:29:12.345056+00:00,25.684,False,,0,none in active import/literal graph,False,,,,outside confirmed current batch; research evidence may matter
exp_add_buy_disable_smoke_20260615/qualify_result.json,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,151,151.00B,1,2026-06-14T21:29:12.345056+00:00,25.684,False,,0,none in active import/literal graph,False,,,,outside confirmed current batch; research evidence may matter
exp_add_buy_disable_smoke_20260615/rl_replay_trades.jsonl,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,133689,130.56KiB,1,2026-06-14T21:29:27.832028+00:00,25.684,False,,0,none in active import/literal graph,False,,,,outside confirmed current batch; research evidence may matter
exp_add_buy_disable_smoke_20260615/stage3_ineligible.jsonl,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,0,0.00B,1,2026-06-14T21:29:27.833028+00:00,25.684,False,,0,none in active import/literal graph,False,,,,outside confirmed current batch; research evidence may matter
exp_add_buy_disable_smoke_20260615/validate_result.json,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,1676,1.64KiB,1,2026-06-14T21:29:27.834028+00:00,25.684,False,,0,none in active import/literal graph,False,,,,outside confirmed current batch; research evidence may matter
exp_algt_stage2_20260704_0001/config.json,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,4083,3.99KiB,1,2026-07-04T13:05:19.319922+00:00,6.034,False,,0,none in active import/literal graph,False,,,,outside confirmed current batch; research evidence may matter
exp_algt_stage2_20260704_0001/run.log,file,LOG_ARTIFACT,REVIEW,277,277.00B,1,2026-07-04T13:05:19.320922+00:00,6.034,False,,0,none in active import/literal graph,False,,,,generated log not referenced by active path; retention policy required
exp_batch_CE_materials_retrain_20260708/comparison.csv,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,2983,2.91KiB,1,2026-07-09T01:19:04.885990+00:00,1.525,False,,0,none in active import/literal graph,True,2026-07-09T01:19:05+00:00,e5dc844,,outside confirmed current batch; research evidence may matter
exp_batch_CE_materials_retrain_20260708/comparison_readout.md,file,DOCUMENTATION_OR_NOTE,REVIEW,4860,4.75KiB,1,2026-07-09T01:19:04.886990+00:00,1.525,False,,0,none in active import/literal graph,True,2026-07-09T01:19:05+00:00,e5dc844,,documentation/history value requires review
exp_batch_CE_materials_retrain_20260708/dry_check.json,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,1097,1.07KiB,1,2026-07-08T23:03:33.014543+00:00,1.619,False,,0,none in active import/literal graph,True,2026-07-08T22:39:17+00:00,6464515,,outside confirmed current batch; research evidence may matter
exp_batch_CE_materials_retrain_20260708/dry_check_readout.md,file,DOCUMENTATION_OR_NOTE,REVIEW,471,471.00B,1,2026-07-08T23:03:33.014543+00:00,1.619,False,,0,none in active import/literal graph,True,2026-07-08T22:39:17+00:00,6464515,,documentation/history value requires review
exp_batch_CE_materials_retrain_20260708/inputs/market_history_with_sector_materials.csv,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,300063,293.03KiB,1,2026-07-08T23:03:32.917543+00:00,1.619,False,,0,none in active import/literal graph,True,2026-07-08T22:39:17+00:00,6464515,,outside confirmed current batch; research evidence may matter
exp_batch_CE_materials_retrain_20260708/multifeature_ce_feasibility_readout.md,file,DOCUMENTATION_OR_NOTE,REVIEW,8006,7.82KiB,1,2026-07-08T22:56:17.337322+00:00,1.624,False,,0,none in active import/literal graph,True,2026-07-08T22:56:21+00:00,02f26e0,,documentation/history value requires review
exp_batch_CE_materials_retrain_20260708/run_all.log,file,LOG_ARTIFACT,REVIEW,152688,149.11KiB,1,2026-07-09T01:19:12.613976+00:00,1.525,False,,0,none in active import/literal graph,True,2026-07-09T10:10:21+00:00,8d96da4,,generated log not referenced by active path; retention policy required
exp_batch_CE_materials_retrain_20260708/run_status.json,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,5028,4.91KiB,1,2026-07-09T01:19:04.886990+00:00,1.525,False,,0,none in active import/literal graph,True,2026-07-09T01:19:05+00:00,e5dc844,,outside confirmed current batch; research evidence may matter
exp_batch_CE_materials_retrain_20260708/tickers/CE/stage2/config.json,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,6843,6.68KiB,1,2026-07-08T23:03:32.856543+00:00,1.619,False,,0,none in active import/literal graph,True,2026-07-09T01:19:05+00:00,e5dc844,,outside confirmed current batch; research evidence may matter
exp_batch_CE_materials_retrain_20260708/tickers/CE/stage2/early_cut_log.csv,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,143481,140.12KiB,1,2026-07-08T23:03:31.839545+00:00,1.619,False,,0,none in active import/literal graph,True,2026-07-09T01:19:05+00:00,e5dc844,,outside confirmed current batch; research evidence may matter
exp_batch_CE_materials_retrain_20260708/tickers/CE/stage2/ga_history.csv,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,25286,24.69KiB,1,2026-07-08T23:02:50.361619+00:00,1.619,False,,0,none in active import/literal graph,True,2026-07-09T01:19:05+00:00,e5dc844,,outside confirmed current batch; research evidence may matter
exp_batch_CE_materials_retrain_20260708/tickers/CE/stage2/period_metrics_all.csv,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,405980,396.46KiB,1,2026-07-08T23:03:31.827545+00:00,1.619,False,,0,none in active import/literal graph,True,2026-07-09T01:19:05+00:00,e5dc844,,outside confirmed current batch; research evidence may matter
exp_batch_CE_materials_retrain_20260708/tickers/CE/stage2/rl_replay_trades.jsonl,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,14781034,14.10MiB,1,2026-07-08T23:03:32.855543+00:00,1.619,False,,0,none in active import/literal graph,True,2026-07-09T01:19:05+00:00,e5dc844,,outside confirmed current batch; research evidence may matter
exp_batch_CE_materials_retrain_20260708/tickers/CE/stage2/run.log,file,LOG_ARTIFACT,REVIEW,1847,1.80KiB,1,2026-07-08T23:03:32.857543+00:00,1.619,False,,0,none in active import/literal graph,True,2026-07-09T01:19:05+00:00,e5dc844,,generated log not referenced by active path; retention policy required
exp_batch_CE_materials_retrain_20260708/tickers/CE/stage2/summary.json,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,2571,2.51KiB,1,2026-07-08T23:03:32.857543+00:00,1.619,False,,0,none in active import/literal graph,True,2026-07-09T01:19:05+00:00,e5dc844,,outside confirmed current batch; research evidence may matter
exp_batch_CE_materials_retrain_20260708/tickers/CE/stage2/trades.jsonl,file,ONE_OFF_EXPERIMENT_ARTIFACT,REVIEW,14729522,14.05MiB,1,2026-07-08T23:03:32.358544+00:00,1.619,False,,0,none in active import/literal graph,True,2026-07-09T01:19:05+00:00,e5dc844,,outside confirmed current batch; research evidence may matter
