scope,stage,cut,cut_definition,group,rule_n,ticker_n,trade_n_sum,mean_rule_avg_pnl_pct,median_rule_avg_pnl_pct,mean_rule_win_rate_pct,mean_rule_p05_pnl_pct,mean_rule_tail10_pnl_pct,mean_rule_worst_mae_pct
INTERNAL_HOLDOUT,stage3,ACTIVE_MATERIAL_LE2_AND_TOP2_GE90,active_material_count <= 2 and top2_weight_share_pct >= 90,OTHER,15235,269,241108,1.0700755830250923,0.6418070611128265,52.58880587127237,-9.541294369222628,-10.144303372066279,-14.290220498446718
FROZEN_OOS,stage2,ACTIVE_EXACT_LE2,active_exact_count <= 2,SPARSE,0,0,0,,,,,,
FROZEN_OOS,stage2,ACTIVE_EXACT_LE2,active_exact_count <= 2,OTHER,13,13,1328,2.340673048468358,2.6267300201797235,70.01420577911892,-8.203124670529615,-9.526977110425976,-17.587662138826154
FROZEN_OOS,stage2,ACTIVE_MATERIAL_LE2,active_material_count <= 2,SPARSE,0,0,0,,,,,,
FROZEN_OOS,stage2,ACTIVE_MATERIAL_LE2,active_material_count <= 2,OTHER,13,13,1328,2.340673048468358,2.6267300201797235,70.01420577911892,-8.203124670529615,-9.526977110425976,-17.587662138826154
FROZEN_OOS,stage2,TOP2_GE80,top2_weight_share_pct >= 80,SPARSE,1,1,57,2.3092624905292634,2.3092624905292634,61.40350877192983,-7.963458031968,-8.577602158168334,-18.172585687
FROZEN_OOS,stage2,TOP2_GE80,top2_weight_share_pct >= 80,OTHER,12,12,1271,2.3432905949632827,2.6366937780177553,70.73176386305134,-8.22309689040975,-9.606091689780781,-17.538918509811666
FROZEN_OOS,stage2,TOP2_GE90,top2_weight_share_pct >= 90,SPARSE,1,1,57,2.3092624905292634,2.3092624905292634,61.40350877192983,-7.963458031968,-8.577602158168334,-18.172585687
FROZEN_OOS,stage2,TOP2_GE90,top2_weight_share_pct >= 90,OTHER,12,12,1271,2.3432905949632827,2.6366937780177553,70.73176386305134,-8.22309689040975,-9.606091689780781,-17.538918509811666
FROZEN_OOS,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,SPARSE,1,1,57,2.3092624905292634,2.3092624905292634,61.40350877192983,-7.963458031968,-8.577602158168334,-18.172585687
FROZEN_OOS,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,OTHER,12,12,1271,2.3432905949632827,2.6366937780177553,70.73176386305134,-8.22309689040975,-9.606091689780781,-17.538918509811666
FROZEN_OOS,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,SPARSE,1,1,57,2.3092624905292634,2.3092624905292634,61.40350877192983,-7.963458031968,-8.577602158168334,-18.172585687
FROZEN_OOS,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,OTHER,12,12,1271,2.3432905949632827,2.6366937780177553,70.73176386305134,-8.22309689040975,-9.606091689780781,-17.538918509811666
FROZEN_OOS,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,SPARSE,0,0,0,,,,,,
FROZEN_OOS,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,OTHER,13,13,1328,2.340673048468358,2.6267300201797235,70.01420577911892,-8.203124670529615,-9.526977110425976,-17.587662138826154
FROZEN_OOS,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE90,active_material_count <= 2 and top2_weight_share_pct >= 90,SPARSE,0,0,0,,,,,,
FROZEN_OOS,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE90,active_material_count <= 2 and top2_weight_share_pct >= 90,OTHER,13,13,1328,2.340673048468358,2.6267300201797235,70.01420577911892,-8.203124670529615,-9.526977110425976,-17.587662138826154
FROZEN_OOS,stage3,ACTIVE_EXACT_LE2,active_exact_count <= 2,SPARSE,0,0,0,,,,,,
