window,slice_name,slice_value,unvalidated_gene,candidate_n,trade_n,candidate_equal_avg_pnl_pct,candidate_equal_win_rate_pct,candidate_equal_avg_mae_pct,candidate_equal_avg_mfe_pct,candidate_equal_worst_mae_pct,exit_distribution,metric,n_unvalidated,n_validated,difference,bootstrap_ci_low,bootstrap_ci_high
FULL_5Y,exit_strategy,trailing,True,3,1355.0,1.8660130159886306,60.27046398041727,-5.997001736872325,9.02717362006654,-46.0333511312,"{""breakeven_stop"": 278, ""sell_omen"": 7, ""time_out"": 694, ""trailing"": 376}",,,,,,
FULL_5Y,exit_strategy,trailing,DIFF_UNVALIDATED_MINUS_VALIDATED,43,,,,,,,,avg_pnl_pct,3.0,40.0,-0.1607172103406045,-1.0281252363589148,0.5655604163762655
FULL_5Y,exit_strategy,trailing,DIFF_UNVALIDATED_MINUS_VALIDATED,43,,,,,,,,win_rate_pct,3.0,40.0,-0.3975302256023596,-15.862825779498445,10.402302574313547
FULL_5Y,exit_strategy,trailing,DIFF_UNVALIDATED_MINUS_VALIDATED,43,,,,,,,,avg_mae_pct,3.0,40.0,0.3898847133602503,-3.367920711711278,3.0118212171056538
FULL_5Y,exit_strategy,trailing,DIFF_UNVALIDATED_MINUS_VALIDATED,43,,,,,,,,avg_mfe_pct,3.0,40.0,-0.3572204228949829,-3.3843547410050987,3.677166144667481
FROZEN_OOS,ALL,ALL,False,87,12279.0,3.045596471822353,61.483989856940326,-6.2106350078283725,10.37374496631232,-81.878475308,"{""breakeven_stop"": 2090, ""sell_omen"": 61, ""stop_loss"": 1552, ""take_profit"": 1342, ""time_out"": 4576, ""trailing"": 2658}",,,,,,
FROZEN_OOS,ALL,ALL,True,6,636.0,3.8907061781559324,70.54902150196362,-5.552108749582682,10.623324103670472,-43.2607915527,"{""breakeven_stop"": 118, ""sell_omen"": 7, ""stop_loss"": 30, ""take_profit"": 100, ""time_out"": 275, ""trailing"": 106}",,,,,,
FROZEN_OOS,ALL,ALL,DIFF_UNVALIDATED_MINUS_VALIDATED,93,,,,,,,,avg_pnl_pct,6.0,87.0,0.8451097063335795,-1.1365772941719512,3.6481633345973656
FROZEN_OOS,ALL,ALL,DIFF_UNVALIDATED_MINUS_VALIDATED,93,,,,,,,,win_rate_pct,6.0,87.0,9.065031645023296,0.728337233290637,17.778819348235803
FROZEN_OOS,ALL,ALL,DIFF_UNVALIDATED_MINUS_VALIDATED,93,,,,,,,,avg_mae_pct,6.0,87.0,0.6585262582456908,-1.2946012238729347,2.3945711448929914
