path,path_kind,second_pass_type,csv_file_count,actual_file_count,csv_size_bytes,actual_size_bytes,last_modified_kst,preflight_status,skip_reason,skip_details
data/logs/kingmaker.2026-06-24_00-00-14_769728.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,301,301,2026-06-24T09:00:20.135719+09:00,DELETE,,
data/logs/kingmaker.2026-06-24_00-01-05_094571.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,12153,12153,2026-06-24T09:40:26.376413+09:00,DELETE,,
data/logs/kingmaker.2026-06-24_00-40-26_436392.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,297076,297076,2026-06-25T09:00:14.647064+09:00,DELETE,,
data/logs/kingmaker.2026-06-25_00-00-16_964624.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,323,323,2026-06-25T09:00:22.180050+09:00,DELETE,,
data/logs/kingmaker.2026-06-25_00-00-24_117114.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,1889,1889,2026-06-25T09:27:40.976117+09:00,DELETE,,
data/logs/kingmaker.2026-06-25_00-27-40_980397.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,178113,178113,2026-06-26T09:00:19.001422+09:00,DELETE,,
data/logs/kingmaker.2026-06-26_00-00-19_957112.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,2022,2022,2026-06-26T09:36:08.333575+09:00,DELETE,,
data/logs/kingmaker.2026-06-26_00-36-08_337329.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,244568,244568,2026-06-27T09:00:22.596781+09:00,DELETE,,
data/logs/kingmaker.2026-06-27_00-00-22_705410.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,421,421,2026-06-27T09:00:24.989777+09:00,DELETE,,
data/logs/kingmaker.2026-06-27_00-00-27_969330.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,366,366,2026-06-27T09:02:05.964596+09:00,DELETE,,
data/logs/kingmaker.2026-06-27_00-02-06_982964.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,864,864,2026-06-27T09:28:33.252754+09:00,DELETE,,
data/logs/kingmaker.2026-06-27_00-28-33_261219.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,142407,142407,2026-06-28T09:00:05.385205+09:00,DELETE,,
data/logs/kingmaker.2026-06-28_00-00-07_315627.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,118446,118446,2026-06-29T09:00:20.011584+09:00,DELETE,,
data/logs/kingmaker.2026-06-29_00-00-22_821397.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,269691,269691,2026-06-30T09:00:04.713006+09:00,DELETE,,
data/logs/kingmaker.2026-06-30_00-00-10_645638.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,298,298,2026-06-30T09:00:11.448994+09:00,DELETE,,
data/logs/kingmaker.2026-06-30_00-00-11_457140.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,279,279,2026-06-30T09:00:12.252993+09:00,DELETE,,
data/logs/kingmaker.2026-06-30_00-00-13_549672.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,2772,2772,2026-06-30T09:10:21.985889+09:00,DELETE,,
data/logs/kingmaker.2026-06-30_00-10-21_990567.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,95881,95881,2026-07-01T09:00:01.763388+09:00,DELETE,,
data/logs/kingmaker.2026-07-01_00-00-01_769707.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,349,349,2026-07-01T09:00:04.860382+09:00,DELETE,,
data/logs/kingmaker.2026-07-01_00-00-05_060211.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,275,275,2026-07-01T09:00:12.014369+09:00,DELETE,,
data/logs/kingmaker.2026-07-01_00-00-12_338321.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,278,278,2026-07-01T09:00:16.588361+09:00,DELETE,,
data/logs/kingmaker.2026-07-01_00-00-16_594388.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,422,422,2026-07-01T09:00:17.496360+09:00,DELETE,,
data/logs/kingmaker.2026-07-01_00-00-17_525862.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,279,279,2026-07-01T09:00:22.157351+09:00,DELETE,,
data/logs/kingmaker.2026-07-01_00-00-22_340517.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,275,275,2026-07-01T09:00:30.206337+09:00,DELETE,,
data/logs/kingmaker.2026-07-01_00-00-30_367023.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,335,335,2026-07-01T09:02:57.978072+09:00,DELETE,,
data/logs/kingmaker.2026-07-01_00-02-58_005678.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,2244,2244,2026-07-01T09:15:43.261703+09:00,DELETE,,
data/logs/kingmaker.2026-07-01_00-15-43_266304.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,938,938,2026-07-01T22:02:00.673417+09:00,DELETE,,
data/logs/kingmaker.2026-07-01_13-02-00_680723.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,121347,121347,2026-07-02T09:00:08.129765+09:00,DELETE,,
data/logs/kingmaker.2026-07-02_00-00-08_152237.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,311,311,2026-07-02T09:00:11.334759+09:00,DELETE,,
data/logs/kingmaker.2026-07-02_00-00-11_337836.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,278,278,2026-07-02T09:00:12.345758+09:00,DELETE,,
data/logs/kingmaker.2026-07-02_00-00-12_354481.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,396,396,2026-07-02T09:00:13.943755+09:00,DELETE,,
data/logs/kingmaker.2026-07-02_00-00-13_947074.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,275,275,2026-07-02T09:00:20.842743+09:00,DELETE,,
data/logs/kingmaker.2026-07-02_00-00-20_849018.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,278,278,2026-07-02T09:00:23.136739+09:00,DELETE,,
data/logs/kingmaker.2026-07-02_00-00-23_150277.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,388,388,2026-07-02T09:00:32.056722+09:00,DELETE,,
data/logs/kingmaker.2026-07-02_00-00-32_061804.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,929,929,2026-07-02T09:15:43.549091+09:00,DELETE,,
data/logs/kingmaker.2026-07-02_00-15-43_556519.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,13315,13315,2026-07-02T11:49:37.041540+09:00,DELETE,,
data/logs/kingmaker.2026-07-02_02-49-37_051686.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,107422,107422,2026-07-03T09:00:03.028082+09:00,DELETE,,
data/logs/kingmaker.2026-07-03_00-00-03_128268.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,349,349,2026-07-03T09:00:04.536079+09:00,DELETE,,
data/logs/kingmaker.2026-07-03_00-00-04_545550.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,275,275,2026-07-03T09:00:08.816072+09:00,DELETE,,
data/logs/kingmaker.2026-07-03_00-00-08_831104.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,274,274,2026-07-03T09:00:12.966064+09:00,DELETE,,
data/logs/kingmaker.2026-07-03_00-00-13_342505.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,313,313,2026-07-03T09:00:29.428035+09:00,DELETE,,
data/logs/kingmaker.2026-07-03_00-00-29_451284.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,278,278,2026-07-03T09:00:35.902023+09:00,DELETE,,
data/logs/kingmaker.2026-07-03_00-00-36_352208.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,278,278,2026-07-03T09:00:58.639982+09:00,DELETE,,
data/logs/kingmaker.2026-07-03_00-00-58_644286.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,925,925,2026-07-03T09:45:13.538229+09:00,DELETE,,
data/logs/kingmaker.2026-07-03_00-45-13_544955.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,629,629,2026-07-03T13:00:16.729270+09:00,DELETE,,
data/logs/kingmaker.2026-07-03_04-00-16_741474.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,16196,16196,2026-07-04T09:00:02.722332+09:00,DELETE,,
data/logs/kingmaker.2026-07-04_00-00-06_341182.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,275,275,2026-07-04T09:00:09.879320+09:00,DELETE,,
data/logs/kingmaker.2026-07-04_00-00-11_340131.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,277,277,2026-07-04T09:00:13.221314+09:00,DELETE,,
data/logs/kingmaker.2026-07-04_00-00-13_341507.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,277,277,2026-07-04T09:00:20.950300+09:00,DELETE,,
data/logs/kingmaker.2026-07-04_00-00-21_005825.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,315,315,2026-07-04T09:00:36.468272+09:00,DELETE,,
data/logs/kingmaker.2026-07-04_00-00-36_476482.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,833,833,2026-07-04T09:03:41.819940+09:00,DELETE,,
data/logs/kingmaker.2026-07-04_00-03-41_824038.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,1004,1004,2026-07-04T09:45:13.583475+09:00,DELETE,,
data/logs/kingmaker.2026-07-04_00-45-13_591168.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,7548,7548,2026-07-04T19:17:54.596915+09:00,DELETE,,
data/logs/kingmaker.2026-07-04_10-17-55_044133.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,12399,12399,2026-07-05T09:00:01.210572+09:00,DELETE,,
data/logs/kingmaker.2026-07-05_00-00-01_218033.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,274,274,2026-07-05T09:00:02.359570+09:00,DELETE,,
data/logs/kingmaker.2026-07-05_00-00-02_370111.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,278,278,2026-07-05T09:00:07.437561+09:00,DELETE,,
data/logs/kingmaker.2026-07-05_00-00-07_441123.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,275,275,2026-07-05T09:00:09.839557+09:00,DELETE,,
data/logs/kingmaker.2026-07-05_00-00-09_847550.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,277,277,2026-07-05T09:00:12.277552+09:00,DELETE,,
data/logs/kingmaker.2026-07-05_00-00-12_284623.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,276,276,2026-07-05T09:00:12.329552+09:00,DELETE,,
data/logs/kingmaker.2026-07-05_00-00-12_383324.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,275,275,2026-07-05T09:00:16.484545+09:00,DELETE,,
data/logs/kingmaker.2026-07-05_00-00-16_488938.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,278,278,2026-07-05T09:00:16.846544+09:00,DELETE,,
data/logs/kingmaker.2026-07-05_00-00-16_854417.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,650,650,2026-07-05T09:01:39.483396+09:00,DELETE,,
data/logs/kingmaker.2026-07-05_00-01-39_500424.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,1047,1047,2026-07-05T09:45:13.600715+09:00,DELETE,,
data/logs/kingmaker.2026-07-05_00-45-13_634565.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,6191,6191,2026-07-05T20:44:11.514896+09:00,DELETE,,
data/logs/kingmaker.2026-07-05_11-44-11_550810.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,8100,8100,2026-07-06T09:00:01.218850+09:00,DELETE,,
data/logs/kingmaker.2026-07-06_00-00-03_269344.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,417,417,2026-07-06T09:00:16.097823+09:00,DELETE,,
data/logs/kingmaker.2026-07-06_00-00-16_105644.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,276,276,2026-07-06T09:00:16.343823+09:00,DELETE,,
data/logs/kingmaker.2026-07-06_00-00-16_346766.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,278,278,2026-07-06T09:00:20.797815+09:00,DELETE,,
data/logs/kingmaker.2026-07-06_00-00-20_802238.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,279,279,2026-07-06T09:00:21.517813+09:00,DELETE,,
data/logs/kingmaker.2026-07-06_00-00-21_524794.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,461,461,2026-07-06T09:00:32.336794+09:00,DELETE,,
data/logs/kingmaker.2026-07-06_00-00-32_339709.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,276,276,2026-07-06T09:00:33.363792+09:00,DELETE,,
data/logs/kingmaker.2026-07-06_00-00-33_370977.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,3634,3634,2026-07-06T09:45:13.530991+09:00,DELETE,,
