candidate_id,mean_forward_max_return_pct,median_forward_max_return_pct,positive_count,positive_rate,regime,scope,signal_count,ticker
stage3:DBRG:5eba9682ac09,2.3014337613635867,0.2604164241347462,3,0.15789473684210525,oos,ENTITY,19,DBRG
stage3:DBRG:5eba9682ac09,3.2022144710579914,2.0356275003996283,28,0.4057971014492754,all,ENTITY,69,DBRG
stage3:DDOG:6c41f43018cf,2.952395522300873,3.0172621070420624,8,0.5,stress,ENTITY,16,DDOG
stage3:DDOG:6c41f43018cf,3.7574339237655563,4.106950532763387,15,0.5769230769230769,train,ENTITY,26,DDOG
stage3:DDOG:6c41f43018cf,4.633340937156376,2.511970990976675,6,0.375,oos,ENTITY,16,DDOG
stage3:DDOG:6c41f43018cf,3.7769838856762155,3.0172621070420624,29,0.5,all,ENTITY,58,DDOG
stage3:DELL:47ee59ff823b,1.4802907883944196,1.0440632987296805,1,0.06666666666666667,stress,ENTITY,15,DELL
stage3:DELL:47ee59ff823b,3.6901357530412127,1.8912117307070986,12,0.41379310344827586,train,ENTITY,29,DELL
stage3:DELL:47ee59ff823b,3.4428214978876834,2.553986737491043,7,0.3888888888888889,oos,ENTITY,18,DELL
stage3:DELL:47ee59ff823b,3.083694929453061,1.4355475601576684,20,0.3225806451612903,all,ENTITY,62,DELL
stage3:DHI:3d6a4f6f0b99,3.2725810804412934,2.336794875617998,7,0.4666666666666667,stress,ENTITY,15,DHI
stage3:DHI:3d6a4f6f0b99,2.6055673466972906,1.9403002707723438,9,0.36,train,ENTITY,25,DHI
stage3:DHI:3d6a4f6f0b99,2.7371293414516757,1.20690038297242,6,0.375,oos,ENTITY,16,DHI
stage3:DHI:3d6a4f6f0b99,2.82182088102283,2.0577856415117446,22,0.39285714285714285,all,ENTITY,56,DHI
stage3:DLTR:9f4d686fbc80,1.5903057714703954,1.2999120132055841,2,0.15384615384615385,stress,ENTITY,13,DLTR
stage3:DLTR:9f4d686fbc80,1.7442020415289055,1.617049783568747,3,0.15,train,ENTITY,20,DLTR
stage3:DLTR:9f4d686fbc80,2.86652425258684,2.5979717031777927,6,0.4,oos,ENTITY,15,DLTR
stage3:DLTR:9f4d686fbc80,2.0532474926769972,1.705434684971563,11,0.22916666666666666,all,ENTITY,48,DLTR
